Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
325754001875,SOACHA,CUNDINAMARCA,COLEGIO RAFAEL POMBO CAZUCA,#N/A,A,6,12,3631,258,41,0.6195,#N/A,1,#N/A
105001005410,MEDELLÍN,ANTIOQUIA,INST EDUC JUAN DE DIOS CARVAJAL,Oficial,A,25,50,4051,254,38,0.568,0.509360965,1,0.692453655
276497000047,OBANDO,VALLE,IE POLICARPA SALAVARRIETA,Oficial,A,2,1,4140,253,0,0.61125,#N/A,1,#N/A
376109007951,BUENAVENTURA,VALLE,SANTA CATALINA LABOURE,#N/A,A,1,1,4500,250,0,0.604,#N/A,1,#N/A
317380000702,LA DORADA,CALDAS,COLEGIO SAN FRANCISCO DE ASIS,#N/A,A,2,1,5349,243,0,#N/A,#N/A,1,#N/A
273067001024,ATACO,TOLIMA,INSTITUCION EDUCATIVA BERLIN,#N/A,A,1,2,6759,230,8,0.522,#N/A,1,#N/A
425175001027,CHÍA,CUNDINAMARCA,COL PENSAR ANDINO,Privado,A,3,1,6945,228,0,0.6195,#N/A,1,#N/A
254800000850,TEORAMA,NORTE DE SANTANDER,INSTITUCION EDUCATIVA SAN JUANCITO,Oficial,A,4,8,6947,228,19,0.54825,#N/A,1,#N/A
305045010151,APARTADÓ,ANTIOQUIA,COLEGIO ALEGRIA DE APRENDER,#N/A,A,1,1,7038,227,0,0.61575,#N/A,1,#N/A
313244003247,EL CARMEN DE BOLÍVAR,BOLIVAR,INSTITUTO EDUCATIVO CRISTIANO COLOMBO AMERICANO,Privado,A,5,10,7153,226,32,0.5575,#N/A,1,#N/A
205790001142,TARAZÁ,ANTIOQUIA,I. E. R. SAN ANTONIO,#N/A,A,4,1,7300,224,0,0.51275,#N/A,1,#N/A
376364001711,JAMUNDÍ,VALLE,LICEO EL ROSARIO JAMUNDÍ,#N/A,A,1,1,7534,221,0,0.58825,#N/A,1,#N/A
